Feature,Importance
SMA_20_200_cross,0.019412749308646345
Price_SMA_200,0.018885086783875068
Price_EMA_200,0.018307685612890943
BB_width_50,0.017610268525310214
EMA_200,0.01688769891073387
Price_SMA_100,0.016180579546704554
SMA_50,0.014881789020337882
OBV,0.014679672945263296
SMA_100,0.014462677845853167
EMA_50,0.013920531298095182
ATR_pct_21,0.01385754716579439
CMF_20,0.013283407725484335
ATR_pct_14,0.013269305423994744
SMA_20,0.013222066205265575
VI_plus_14,0.013205243592584999
ADX_14,0.013188225259296518
SMA_200,0.012955051387817645
KC_width,0.012837559983913616
EMA_100,0.012761402264458961
EMA_5,0.01273993659145839
OBV_ratio,0.012519564170536145
UltOsc,0.012351275364013948
SMA_5,0.012099441105705946
Ret_skew_10,0.012014248808833877
OBV_SMA20,0.011801318108915413
Coppock,0.011696005359986225
ATR_14,0.011419393710877558
ROC_60,0.011217249549695918
BB_width_20,0.011020274296332202
ATR_21,0.010717551365164096
Pct_from_high_52,0.010632653300863777
Ret_skew_5,0.010609796839505033
EMA_10,0.010531265260636215
Ret_skew_20,0.010401525760293788
Ret_std_20,0.010384912832839687
EMA_20,0.010373396053532184
BB_pct_50,0.010366665888150314
TRIX_15,0.010339273367732129
MFI_14,0.010291530860408953
MassIndex_25,0.010238753530800568
BB_width_10,0.010115854098608159
Price_EMA_100,0.01006232578328631
PPO,0.010019570631373785
RSI_7,0.00990277728243793
SMA_10,0.009809646928920583
DC_width_20,0.009642789441881724
MACD_signal,0.009484106208008007
ATR_pct_7,0.009087774134750563
Ret_std_10,0.00878585394108245
Stoch_D_21,0.008624987200561795
ROC_20,0.008569464367091136
Minus_DI_14,0.008565524759802785
Price_SMA_50,0.008446213399437724
Pct_from_low_52,0.00843149564614569
Ret_std_5,0.00831201095571169
ATR_7,0.00828568786027528
Ret_mean_20,0.008247937257920966
SMA_10_50_cross,0.008215854856532841
Aroon_osc_25,0.008175774442947517
EOM_14,0.00810398337809592
Force_13,0.008072862828084162
Pct_from_low_20,0.008028086879728091
TEMA_20,0.007725706095366421
MACD_histogram,0.007667738070516589
Plus_DI_14,0.0075125754481175965
Stoch_D_14,0.0075046769290756975
EMA_12_26_cross,0.007446863143599717
Upper_shadow,0.0073118215421634596
RSI_14,0.007241209623306103
MACD_line,0.007041688368628416
DEMA_20,0.006608953410303178
KC_pct,0.006363630869998057
ROC_5,0.006197229039128843
Price_EMA_50,0.006143934927046716
HMA_proxy,0.006111291531268003
Lag_ret_3,0.006071973998924139
RSI_21,0.006020855412767331
Gap,0.005988333996254356
VI_minus_14,0.005967843752933953
DPO_20,0.005871440451037444
Vol_ratio_10,0.005849904975379208
Lag_ret_5,0.005803054391581221
CCI_14,0.005765712384274019
SMA_5_20_cross,0.005757232685977225
Bear_power,0.005603680456170855
Pct_from_high_20,0.005509938418077355
Ret_mean_5,0.005468828367437594
ROC_10,0.005457123303701511
Williams_R_21,0.005362243930299655
HL_range,0.005344151208656497
BB_pct_10,0.005238886960834337
VWAP_dev,0.005225518967832821
CCI_20,0.005134591107606632
Price_EMA_20,0.005064966139248981
Lag_ret_1,0.005019691231014177
Price_SMA_20,0.005015466473377274
Williams_R_14,0.004943833665651399
BB_pct_20,0.004939753278429992
Vol_ratio_20,0.0049351030118816195
Ret_mean_10,0.004915584413472174
Lag_ret_2,0.004853138531658134
ROC_1,0.00484208893303847
Body_pct,0.00483660571803845
Aroon_osc_14,0.004819815374698354
Stoch_K_14,0.004811739340316622
Bull_power,0.004513941892343466
Lower_shadow,0.004352630709552516
Price_SMA_10,0.004262598895506437
Stoch_K_21,0.00413092272804295
Price_EMA_10,0.003982439905866512
Price_SMA_5,0.003875946711114979
Price_EMA_5,0.0038713023869304734
Lag_ret_10,0.003615731489332058
SAR_proxy,0.0035129021869312175
