Feature,Importance
EMA_200,0.02850704684596648
OBV,0.025078913177534787
EMA_50,0.024579490868176904
SMA_200,0.024464381701505316
OBV_SMA20,0.022939840338773217
SMA_100,0.020147328997600113
SMA_20,0.01987400594818794
Ret_std_20,0.019479098822174908
MassIndex_25,0.01845860744006199
EMA_100,0.018183093403683376
Ret_skew_20,0.01563330296289459
EMA_20,0.014936761135505
SMA_50,0.0145259355717885
BB_width_50,0.013828043111788719
EMA_10,0.013641500774958038
Ret_skew_10,0.013364469010546966
EMA_5,0.013172893950468405
SMA_5,0.012873262986639895
ROC_60,0.01209818957640906
SMA_10,0.011918416996353218
ADX_14,0.011699434521597142
Coppock,0.011637464755162214
ATR_pct_21,0.011504857497512734
ATR_14,0.011264858404046457
SMA_20_200_cross,0.011121347518975831
MACD_line,0.011069272066855509
MACD_signal,0.010973055620478426
ATR_21,0.010917413753068088
ATR_pct_7,0.010741107858497332
Price_SMA_100,0.010553023801856276
Price_SMA_200,0.01050086899204402
KC_width,0.010460805469965228
BB_width_20,0.010204031180330744
ATR_7,0.010189281010561086
ATR_pct_14,0.010076346760679453
OBV_ratio,0.009495258956221499
Plus_DI_14,0.00941559201343441
EMA_12_26_cross,0.009333768423276613
Price_EMA_200,0.009164443725137777
TRIX_15,0.00901670961245811
Price_EMA_100,0.00888471731313829
DC_width_20,0.008860894466217432
SMA_5_20_cross,0.008746496483103595
Pct_from_low_20,0.00870297461763228
Price_SMA_50,0.00867189206590542
PPO,0.008434655693672402
Price_EMA_50,0.00841961788375531
Pct_from_low_52,0.00829296343578164
Ret_std_10,0.008250936117432356
Pct_from_high_52,0.008248961617790384
SMA_10_50_cross,0.008044449520085666
DPO_20,0.00798723985684541
BB_width_10,0.007886559312428975
MFI_14,0.007869755972284459
MACD_histogram,0.00776507438371204
CMF_20,0.007644914956918027
Ret_std_5,0.007582492568263366
Force_13,0.007438861208647439
Lag_ret_10,0.007160259111380146
EOM_14,0.0071500222873600704
Minus_DI_14,0.006950588799984995
BB_pct_50,0.006830328501979812
VI_plus_14,0.0068109707618157385
Ret_mean_10,0.006767471434302123
VI_minus_14,0.006675195745966176
Ret_mean_20,0.006617061329082938
Aroon_osc_25,0.006566748870866394
Stoch_D_21,0.006488755085713613
ROC_10,0.006267439912382875
Price_SMA_20,0.006192182620308006
Stoch_D_14,0.006090132257599567
Vol_ratio_20,0.0060418255169685
Pct_from_high_20,0.005902434020245678
ROC_20,0.0058204482479326854
UltOsc,0.005685258629967744
TEMA_20,0.0055086042985372586
Bear_power,0.005486176603177081
Ret_skew_5,0.005403689556753835
Aroon_osc_14,0.0053557244480821956
VWAP_dev,0.005315380576262955
CCI_20,0.005274689497343993
Price_EMA_20,0.005231743671959162
Williams_R_21,0.0051919766117328936
RSI_21,0.005091490524125363
Bull_power,0.005018928024706763
RSI_14,0.0048451888084693456
RSI_7,0.004822356228441786
Price_SMA_10,0.004751131967075818
Lag_ret_3,0.004662440062640345
Stoch_K_21,0.004649197643390375
Lower_shadow,0.004630178062670325
DEMA_20,0.0046053126798709645
Ret_mean_5,0.004593319252130329
BB_pct_20,0.0045624892450008775
Williams_R_14,0.004529283029255497
Stoch_K_14,0.004510728092131056
Lag_ret_2,0.004477676300008717
Body_pct,0.00446500133631855
HL_range,0.0042936892515135945
BB_pct_10,0.004267857534612522
SAR_proxy,0.004259965186878647
Upper_shadow,0.004107405233056099
Gap,0.004085410189851944
KC_pct,0.004054097623370484
Price_SMA_5,0.004049638330583088
CCI_14,0.004049025786690632
Vol_ratio_10,0.0037461219194592195
ROC_5,0.003705992033828169
Price_EMA_10,0.0036897355297488632
Lag_ret_1,0.0036255454979211422
Price_EMA_5,0.0036230767835724446
Lag_ret_5,0.0036059630888514277
HMA_proxy,0.0035828356562366426
ROC_1,0.0034768276630916194
