Feature,Importance
EMA_50,0.026745491769259406
SMA_20,0.022981026538174288
ATR_pct_14,0.021002066319359153
EMA_100,0.020625926919265302
EMA_200,0.019779989761668542
BB_width_20,0.018890848955239077
SMA_200,0.01853843270613918
Coppock,0.018310958988178458
ROC_20,0.017908382229466623
SMA_50,0.01749762042168054
ATR_pct_21,0.016507087082541137
Ret_std_20,0.015277924844582992
SMA_10,0.015195447857328513
SMA_100,0.015101957110830545
EMA_20,0.014145904388081052
KC_width,0.014029142422751396
Ret_skew_20,0.013920884300220041
ATR_pct_7,0.013303637958634415
ATR_7,0.012492683894495638
SMA_5_20_cross,0.012137486344416935
BB_width_50,0.012114816614818865
OBV_SMA20,0.012050793256339006
CMF_20,0.011717283314744064
Ret_mean_20,0.011600862716677039
SMA_20_200_cross,0.011354516837568301
ATR_14,0.011227980929977881
EMA_10,0.011172712548792568
Ret_std_10,0.01095270186099101
HL_range,0.010912076060083176
MassIndex_25,0.010821386871496705
Price_EMA_200,0.01048344154428984
PPO,0.010321686257995736
DC_width_20,0.010268175362876233
Minus_DI_14,0.009846529243211749
Price_SMA_100,0.009750101560464457
EMA_12_26_cross,0.009708395444735682
ADX_14,0.009596091790428035
DPO_20,0.00935035446374498
ATR_21,0.009285090654489599
Pct_from_low_52,0.009150649557837651
Price_EMA_100,0.009065662402530072
SMA_10_50_cross,0.009057069990228275
Plus_DI_14,0.008920761745842989
ROC_60,0.0087494199785086
Price_SMA_200,0.008661265582760778
SMA_5,0.00856269799754517
CCI_20,0.008297072202989243
Ret_std_5,0.008245334629964974
MFI_14,0.008190654322475243
MACD_histogram,0.008142239006890033
TRIX_15,0.00811169522836217
Aroon_osc_25,0.007892054182637933
OBV,0.007856760405077155
Ret_skew_10,0.007815844135695764
MACD_line,0.00758677779667186
VI_minus_14,0.007572455016649368
OBV_ratio,0.007553376877922171
Body_pct,0.007395582515256071
BB_width_10,0.007313571900128599
BB_pct_50,0.007285440445255081
MACD_signal,0.007121738426435604
VI_plus_14,0.00710822273377268
Aroon_osc_14,0.00706498679405529
EMA_5,0.007046736989925531
UltOsc,0.007003792478579567
Force_13,0.007002722930723047
RSI_21,0.006957836809518323
Price_SMA_50,0.0069066675259333256
Ret_skew_5,0.006269717051722542
Ret_mean_10,0.0062277840209251515
Pct_from_high_52,0.0062136561250252745
EOM_14,0.006186831075837628
Pct_from_low_20,0.006151852741225055
Vol_ratio_20,0.006146968024357299
Stoch_D_21,0.00612788618820316
BB_pct_20,0.006116710751414422
Stoch_D_14,0.006055776890906297
CCI_14,0.00600744127974094
Lag_ret_10,0.005829156810342395
Lag_ret_3,0.00578771013473974
Bear_power,0.005705979746490364
Bull_power,0.005644811389532757
Vol_ratio_10,0.005582912066029661
ROC_5,0.005571945052099894
ROC_10,0.005538244227389601
Price_EMA_50,0.005472248699146899
Pct_from_high_20,0.005460645310178399
HMA_proxy,0.005430579403511912
RSI_14,0.005410897386965438
KC_pct,0.005379612252524965
Gap,0.00521981222351213
Ret_mean_5,0.004830019459209981
Williams_R_21,0.004813213964277116
Price_SMA_20,0.0048017352597939916
TEMA_20,0.004673381375818163
Williams_R_14,0.004670247050178804
Price_EMA_20,0.004648890463067803
Stoch_K_21,0.004483132164263977
VWAP_dev,0.004339162054218204
Price_EMA_10,0.004232223294984423
Lower_shadow,0.004207491730864837
BB_pct_10,0.004052510003923204
Price_SMA_10,0.003968749023708004
SAR_proxy,0.00386716232232407
Price_SMA_5,0.00385142050793597
Upper_shadow,0.003841217881624553
Lag_ret_5,0.0036908924284365465
Lag_ret_1,0.003599852674979455
RSI_7,0.0035401403698930847
Stoch_K_14,0.0034839327300740745
Lag_ret_2,0.0034121121912778804
ROC_1,0.0032653998447214963
Price_EMA_5,0.003185967072646462
DEMA_20,0.0024349785237451245
