Feature,Importance
ATR_pct_21,0.024770592618873686
ATR_pct_7,0.023549653235516197
KC_width,0.021818513491922313
ATR_pct_14,0.021528879084924044
Ret_std_20,0.021009023658014526
ATR_21,0.018368953759171674
Ret_std_10,0.017408786643883636
BB_width_50,0.01634054702101059
Ret_std_5,0.016254174045113597
ATR_14,0.015391166379031491
Price_EMA_200,0.01501557452092931
DC_width_20,0.014035895918702643
EMA_50,0.013826549898576712
ATR_7,0.013588942942717636
EMA_200,0.013536322161402329
Price_SMA_200,0.013181543080012452
EMA_5,0.012961340603839291
Ret_skew_20,0.01279159090898057
OBV,0.012579903785224916
SMA_5,0.012455499314847069
SMA_200,0.01239678195208679
SMA_20_200_cross,0.012199926978202205
EMA_10,0.01214801620405612
SMA_20,0.012059573500614073
EMA_20,0.01198570764030173
SMA_100,0.01190411848815269
ADX_14,0.011886471372660983
EMA_100,0.01188377308405506
Price_SMA_100,0.011737102183464545
SMA_10,0.011736347809602072
OBV_SMA20,0.011685207279136559
Price_EMA_100,0.01166954479006894
OBV_ratio,0.011604086544300443
Pct_from_high_52,0.011016091545844408
SMA_50,0.010962407234800764
MassIndex_25,0.01070708745793182
Ret_skew_10,0.010254474418288561
BB_width_20,0.00972248025843184
HL_range,0.00969253207894126
ROC_60,0.008850243758185211
CMF_20,0.008715447592870918
Pct_from_low_52,0.008503709508550129
Upper_shadow,0.008043641072045133
EMA_12_26_cross,0.00765622774375905
BB_pct_50,0.007563358569043832
Lag_ret_2,0.007485840713035526
MACD_signal,0.007405927300601853
TRIX_15,0.007394497791532656
MFI_14,0.007388711524640454
RSI_21,0.0073539074504832035
MACD_line,0.007340882856462186
Force_13,0.007337846557139084
Bear_power,0.00715297199324099
Stoch_D_14,0.007103939534014102
Ret_mean_5,0.00709096016746486
Ret_mean_20,0.006949703895822996
VI_plus_14,0.006934005775430136
ROC_10,0.006914003105293873
Vol_ratio_10,0.006876155214516015
Price_SMA_50,0.006768257451993622
Plus_DI_14,0.0067645463266964865
Vol_ratio_20,0.0066222044979110314
VI_minus_14,0.006613373502777696
MACD_histogram,0.006573841684075474
RSI_14,0.006531532670847238
HMA_proxy,0.006529554886478518
Pct_from_low_20,0.0064923443746306075
SMA_10_50_cross,0.006452419625857235
Price_EMA_50,0.006451829242780392
BB_width_10,0.006401398730418051
UltOsc,0.0063571884246750145
CCI_14,0.006320266245920434
ROC_20,0.006288652699010666
Pct_from_high_20,0.006235958397892851
PPO,0.006230151951628549
EOM_14,0.006187903301698909
Price_EMA_20,0.006160745086300015
Minus_DI_14,0.006062129127387402
Coppock,0.005890475852032064
Ret_skew_5,0.0058816083870675126
Price_SMA_10,0.005766954673718081
Price_EMA_10,0.005737935876832765
KC_pct,0.005690949482937777
CCI_20,0.005659257456455188
Lag_ret_1,0.005633321037658643
Lag_ret_10,0.005569467198572412
Aroon_osc_14,0.005532180797263174
Price_SMA_5,0.005419795330585901
Lower_shadow,0.005411579887909822
Body_pct,0.0053993813013250265
Lag_ret_5,0.005397321298228133
Lag_ret_3,0.005395149319302676
SMA_5_20_cross,0.005385712975194877
ROC_1,0.005211811074415629
DEMA_20,0.005117665123936361
Price_EMA_5,0.005108602390696764
Price_SMA_20,0.00509932325685352
TEMA_20,0.005068614043541045
SAR_proxy,0.005032836158690827
RSI_7,0.005026540224100235
ROC_5,0.004960291915289193
DPO_20,0.004782400640305618
VWAP_dev,0.004697930815527817
Gap,0.004688631327860446
Ret_mean_10,0.004532830602656906
Bull_power,0.004529425390892992
Stoch_K_14,0.0044695177834046945
Williams_R_21,0.004387030235154489
Aroon_osc_25,0.004377551260886841
BB_pct_10,0.004321212040030556
Williams_R_14,0.004318733120952164
BB_pct_20,0.003851019662288295
Stoch_D_21,0.0035381722877170707
Stoch_K_21,0.0033373055229666913
