Feature,Importance
Ret_skew_20,0.028488188202344097
BB_width_50,0.023136945600578496
BB_width_20,0.01768561624378599
Ret_skew_10,0.016963687680993725
SMA_20_200_cross,0.014784160306822641
DC_width_20,0.014756947289876055
Price_EMA_200,0.014360083443891782
Price_SMA_100,0.014242358681842497
Ret_std_20,0.013867803197814582
ADX_14,0.013207504185745275
Coppock,0.013169320690215548
ROC_60,0.01316624782931744
Price_SMA_200,0.01294702460334902
MassIndex_25,0.012876975205776322
ATR_7,0.01273727113618996
Pct_from_high_52,0.012434080962737749
KC_width,0.012362345972159195
TRIX_15,0.012225123596109366
SMA_20,0.01209976399260608
OBV_SMA20,0.01179553120943825
Ret_std_5,0.011792808531005103
Ret_skew_5,0.011581288869359873
Price_EMA_100,0.011421109126959596
SMA_5,0.011192448083634482
OBV_ratio,0.011182226077772854
Plus_DI_14,0.01113234232544439
OBV,0.011086369272930207
BB_width_10,0.010971686556410254
Vol_ratio_10,0.010737928770958543
SMA_200,0.010673916954518215
EMA_5,0.010595503278798404
ATR_14,0.010403481145096495
ATR_pct_7,0.01026916381669762
EOM_14,0.010223783525217066
ATR_pct_21,0.010148458382010981
Ret_std_10,0.009864888448944592
EMA_20,0.009517035226129797
EMA_10,0.009125199218829113
Pct_from_low_52,0.009089608272201554
ATR_pct_14,0.009088812975785919
Aroon_osc_25,0.009085265519333446
TEMA_20,0.009042358143867021
SMA_10,0.008918363638412705
Force_13,0.008741801797873953
VI_plus_14,0.008731210536910457
HL_range,0.008697444179853122
MACD_signal,0.008674389892001342
EMA_200,0.008641333547694084
ATR_21,0.008502842442838623
CMF_20,0.008457362966599187
SMA_100,0.008416948465663151
Price_SMA_50,0.008394569143133817
EMA_50,0.008366435334317092
ROC_20,0.008342768815880645
PPO,0.00825778367346569
Ret_mean_20,0.00814442352687401
MACD_histogram,0.008144391645349464
VI_minus_14,0.008075885008064373
Pct_from_low_20,0.008020953942739727
SMA_50,0.00791424501781754
EMA_100,0.007636541596814108
SMA_5_20_cross,0.007576612318089886
Lag_ret_10,0.007521207298329536
MFI_14,0.0075186708767391985
DPO_20,0.007414781111434736
EMA_12_26_cross,0.007404605477940482
ROC_10,0.007321197468609864
UltOsc,0.007287301779784028
BB_pct_50,0.007255544784086072
MACD_line,0.007193803351939766
Stoch_D_21,0.0071650235609504375
SMA_10_50_cross,0.006984785679092404
Body_pct,0.006914734593849757
Stoch_D_14,0.00666632967978369
Vol_ratio_20,0.006529117824057233
BB_pct_10,0.006527693632664753
Ret_mean_10,0.006520960091509508
DEMA_20,0.006422466772583485
Minus_DI_14,0.006393268638717315
Price_EMA_50,0.006202399557295528
Pct_from_high_20,0.0061809306584554745
Williams_R_14,0.006103209095319038
Lag_ret_3,0.006102635166295778
HMA_proxy,0.006093595577545984
CCI_20,0.006065396586391755
Price_EMA_5,0.0060383692466770295
Price_EMA_10,0.006009678507861803
Price_SMA_20,0.005954024254265973
Upper_shadow,0.0059370319150874535
Price_SMA_5,0.005881391891504241
Stoch_K_21,0.005807238584661757
RSI_21,0.005753238420027142
Ret_mean_5,0.005715527405499807
Lag_ret_5,0.005670459598314742
Lag_ret_2,0.005627359732697731
Bear_power,0.005517631821332533
Price_SMA_10,0.00551398768231456
VWAP_dev,0.005488917768521861
Gap,0.005415832004111535
Bull_power,0.005382749748151589
Williams_R_21,0.005276748507461547
Aroon_osc_14,0.005275227039802506
Stoch_K_14,0.0052228400834677235
CCI_14,0.005212114474283749
Lower_shadow,0.0049754537876241225
RSI_14,0.004942826600661607
BB_pct_20,0.0047349441762322
ROC_5,0.004660351425280345
Price_EMA_20,0.004627236363476018
Lag_ret_1,0.0045600751199225305
ROC_1,0.004552239035016658
KC_pct,0.004271157938728644
SAR_proxy,0.0042613923781351605
RSI_7,0.0037353251816091585
