Feature,Importance
OBV_SMA20,0.018654933562812604
SMA_20_200_cross,0.0169901803118234
Price_SMA_200,0.016191535660963395
PPO,0.015368786014861968
OBV_ratio,0.015140414487403034
BB_width_50,0.013948781144956797
EMA_200,0.01390013415771945
Ret_skew_20,0.013768006616535369
TRIX_15,0.013419792626968489
OBV,0.013300667428453889
Price_SMA_50,0.01309318567366974
SMA_200,0.012972970095424557
EMA_12_26_cross,0.01282070997973605
MACD_signal,0.012786400122368187
Aroon_osc_25,0.012758890136981086
EMA_5,0.012653475757042756
MACD_line,0.012431290678842008
Price_EMA_200,0.012391431390590941
MassIndex_25,0.012172802142839667
SMA_10_50_cross,0.012107675668693918
SMA_20,0.011995395683848338
SMA_50,0.011667678115986126
EMA_50,0.011630634504539803
CMF_20,0.011509947498841246
Plus_DI_14,0.011401201462949184
ROC_60,0.011249175815863792
DC_width_20,0.011207883586733924
MACD_histogram,0.010967272580790421
SMA_100,0.01090783758628784
ATR_pct_21,0.010829170943211258
Ret_skew_10,0.010697973539947978
EMA_100,0.010371159844196693
Ret_std_5,0.01023835342542854
Ret_std_20,0.010196524598712191
Price_EMA_100,0.01012180532025678
ADX_14,0.010101969964023478
EMA_20,0.00993547732324677
ATR_21,0.009871236860867563
SMA_5,0.009766851745933466
Ret_std_10,0.00961264919059012
SMA_10,0.009452776875599977
KC_width,0.009327572480170921
BB_width_20,0.009297754814651052
Aroon_osc_14,0.009207930371558223
ATR_pct_14,0.009196024597022864
Pct_from_low_52,0.009002117746627748
Pct_from_low_20,0.008954727460035092
RSI_21,0.008886356918667744
UltOsc,0.008883532977740706
Minus_DI_14,0.008734895233792202
VI_minus_14,0.00871642225166655
Force_13,0.00871303090144025
SMA_5_20_cross,0.00866819796593631
Price_SMA_100,0.00866528070317067
Coppock,0.0084761193867083
EOM_14,0.008471541213247355
Price_EMA_50,0.008456168899014207
MFI_14,0.008399304667630373
Ret_mean_20,0.00835358634508598
Ret_skew_5,0.00831658659225291
ROC_20,0.0082795442425678
EMA_10,0.008255668817300076
BB_width_10,0.008120923500938083
Williams_R_21,0.00808233723568173
Vol_ratio_10,0.008019904801791619
RSI_14,0.007731362805976255
Pct_from_high_52,0.007601521843384616
Stoch_D_14,0.007495422054658912
ATR_7,0.0074612061795160094
Stoch_D_21,0.0074399897000153965
Price_SMA_5,0.007398173494362733
CCI_14,0.0073782564019443785
DPO_20,0.007193550200259314
Lag_ret_2,0.007105354167571985
CCI_20,0.007055829983413918
VI_plus_14,0.00702830891902772
ROC_10,0.006996417178039864
HL_range,0.0068136704978521995
ATR_14,0.006769580795653237
BB_pct_50,0.006548338776716678
Stoch_K_21,0.006512364412982451
Lower_shadow,0.006471763252685747
Price_SMA_20,0.006320589043332384
Upper_shadow,0.006232557235032289
BB_pct_10,0.006191063919912414
Vol_ratio_20,0.00599209578501727
Stoch_K_14,0.005977721235552398
Gap,0.005925224576561477
ATR_pct_7,0.00591070153636008
Pct_from_high_20,0.005899466192376909
Lag_ret_10,0.0057607430229511996
Bull_power,0.005755904369333344
BB_pct_20,0.00573529608328098
Price_EMA_20,0.005677659648499222
Price_EMA_5,0.005597958940535395
Lag_ret_5,0.005471523381011242
Lag_ret_3,0.005381960016945548
Body_pct,0.005359077180147276
Bear_power,0.005334646741631269
Ret_mean_10,0.005290503453430459
VWAP_dev,0.005262893522394783
SAR_proxy,0.0051097830173988
Price_SMA_10,0.0051091924715667815
KC_pct,0.005097000646988593
DEMA_20,0.005075260263449281
TEMA_20,0.005034100006944099
Lag_ret_1,0.004921793294318823
Ret_mean_5,0.004900633926577598
HMA_proxy,0.0048995032599162556
Williams_R_14,0.004786924416280219
RSI_7,0.0045821515701135775
ROC_1,0.004519130630347669
Price_EMA_10,0.004056415683092961
ROC_5,0.003738844013396551
