Feature,Importance
MACD_signal,0.020097738115118894
SMA_10_50_cross,0.019987583697053963
BB_width_50,0.018735395666601234
TRIX_15,0.018334849860506965
Ret_skew_20,0.018325684116342632
CMF_20,0.017547927337979382
SMA_50,0.015986736811361802
SMA_200,0.015406712960409732
MassIndex_25,0.014717271819624754
VI_plus_14,0.01428648912242375
SMA_20,0.013844468090975443
EMA_200,0.013773572593543055
OBV_SMA20,0.013625537271223048
EMA_50,0.013515879386796185
Ret_std_10,0.012558510561644422
ROC_60,0.012439961993240638
OBV,0.012226319515891588
Ret_std_5,0.01206320997243291
Pct_from_low_52,0.011996495887401119
Ret_std_20,0.01187226311322781
BB_width_20,0.011824550347293992
Ret_skew_10,0.011635306282236618
EMA_20,0.011452297026330936
EMA_10,0.011259884997360761
Pct_from_high_52,0.01112877331841366
ADX_14,0.011051063453145615
EMA_100,0.011019575606451422
SMA_10,0.0109573145975904
Price_SMA_50,0.01089246574277314
BB_width_10,0.01084110567748138
EMA_5,0.010818155760081159
MACD_line,0.010577014729736663
Pct_from_low_20,0.010479356496131671
SMA_100,0.010445009953547186
ATR_21,0.0103335936227723
Price_SMA_100,0.010314275576802345
ATR_pct_21,0.010251191087148354
Aroon_osc_25,0.010180230402119779
EMA_12_26_cross,0.009939315980109312
ATR_14,0.009766797607488414
PPO,0.009633484298887591
Minus_DI_14,0.00959443079135946
DC_width_20,0.00944136977926771
UltOsc,0.009414843548205223
Price_EMA_200,0.009379942371261905
MACD_histogram,0.009316067862208385
SMA_5,0.009271968371700903
Force_13,0.009259080402226899
Coppock,0.009231655814514524
ATR_pct_14,0.008979054914384022
ATR_pct_7,0.00887785254262765
ROC_20,0.008809957767948096
Lag_ret_5,0.008586601659260082
Price_EMA_50,0.008495005380760931
Vol_ratio_10,0.00840388102250969
SMA_20_200_cross,0.008246715291794582
Ret_skew_5,0.008114283792693085
Price_SMA_200,0.007982752181395244
MFI_14,0.007713202143575972
Price_EMA_10,0.0076975859901738854
ROC_5,0.007527449668162064
DPO_20,0.007475264035822754
Ret_mean_20,0.007421423244518954
EOM_14,0.007409977934944339
OBV_ratio,0.007257906734843601
ATR_7,0.007155983343943743
Lag_ret_10,0.007119619253215466
KC_width,0.007102715494938631
Ret_mean_5,0.006940597771401428
SMA_5_20_cross,0.00687799794158771
Ret_mean_10,0.006784908852167908
Price_EMA_100,0.00674363891623426
CCI_20,0.006611492162019422
Price_SMA_5,0.006559646498482969
Lag_ret_1,0.006487059958591718
Body_pct,0.006302639861142054
Lag_ret_2,0.006289135854810166
CCI_14,0.006272870951942986
Plus_DI_14,0.006217277722771581
Bull_power,0.006211039388457423
Vol_ratio_20,0.006138165459011283
HL_range,0.005987641992122092
Pct_from_high_20,0.005933088141120222
BB_pct_50,0.005874201103433702
HMA_proxy,0.005821667854379624
Price_SMA_10,0.005818890395542726
DEMA_20,0.0058182379989892
TEMA_20,0.005812619075915546
ROC_10,0.005750581747624955
ROC_1,0.0056971930960606565
KC_pct,0.005645824517062233
VI_minus_14,0.0055654684514090955
Lag_ret_3,0.005506191074616207
Bear_power,0.00549524244255391
Stoch_K_21,0.005338259684295645
Gap,0.005327580908695336
Price_EMA_5,0.004955655704646443
RSI_21,0.0048898344767987914
BB_pct_20,0.004850097784202489
Williams_R_14,0.004757412878412819
Stoch_D_21,0.004743120307310633
Stoch_K_14,0.004732583224544511
Aroon_osc_14,0.004703536103716498
Stoch_D_14,0.004692261067243572
Price_EMA_20,0.004622737754210429
Williams_R_21,0.004469191099445742
VWAP_dev,0.0043575812042440576
Lower_shadow,0.00427217203150508
RSI_14,0.0041772807461902955
SAR_proxy,0.004008928157978188
RSI_7,0.0038636291097673575
Upper_shadow,0.0038437856953511627
BB_pct_10,0.0037336329395890634
Price_SMA_20,0.003067438096440962
