Feature,Importance
ATR_pct_21,0.029648994728265245
RSI_21,0.024769931006936544
ATR_pct_7,0.02301316466685109
ATR_pct_14,0.022960375348717418
KC_width,0.022132390372074578
Pct_from_high_52,0.020604707091841305
Price_SMA_100,0.0189231008017374
Ret_std_10,0.018424635679795312
ATR_7,0.016797035857038935
Price_EMA_100,0.015287894193818527
Price_EMA_200,0.014764597429330239
Pct_from_high_20,0.014415889681586923
ATR_14,0.014413257546251793
Ret_std_20,0.014207727963435597
Ret_skew_20,0.01402631836518968
CMF_20,0.013732617718496997
Plus_DI_14,0.013479283998839959
SMA_20_200_cross,0.013173928733462369
BB_pct_50,0.012813363298615797
ATR_21,0.01264062652794948
Price_SMA_200,0.012207549018004193
OBV_SMA20,0.011987364435180501
Ret_skew_10,0.011710520998155114
RSI_14,0.011708647426408229
MFI_14,0.011515112118734325
ADX_14,0.0114199202595222
SMA_100,0.011381863069721374
HL_range,0.011374064623378356
DC_width_20,0.011195692554835377
KC_pct,0.010957034121634741
BB_width_20,0.01085759131513331
Minus_DI_14,0.010035357646458494
Price_EMA_50,0.010006054881388867
EMA_200,0.009728152501557086
OBV,0.009590944439595829
BB_width_50,0.009415229892416048
Ret_std_5,0.009400321549441674
SMA_20,0.008670189336972375
SMA_200,0.008655958985668037
ROC_60,0.008641498118478466
Force_13,0.008541877730167166
EMA_20,0.008536075537651285
SMA_5,0.008225852913516143
SMA_10_50_cross,0.008137629651845174
Lag_ret_3,0.007875800097973671
CCI_14,0.007787987316502649
TRIX_15,0.007714961914145142
MACD_histogram,0.007702012606582811
BB_width_10,0.007674890014942456
MassIndex_25,0.0076663585989715875
RSI_7,0.007578738983287147
Price_SMA_50,0.007536636595638632
Ret_skew_5,0.007469803713304916
Pct_from_low_52,0.00739036493615778
Upper_shadow,0.0073630907500006485
EMA_10,0.007353992820990669
BB_pct_10,0.007292040341737375
Price_SMA_5,0.007283075889447416
Vol_ratio_10,0.007130122576694264
MACD_signal,0.006971021117704637
EMA_100,0.006926211096153356
Vol_ratio_20,0.006896818275537016
CCI_20,0.0068690234375357465
UltOsc,0.006840604638155858
EMA_50,0.0068401651364383064
Stoch_K_21,0.0068056946948740656
PPO,0.006745487922246373
VI_minus_14,0.006722941688891157
SMA_50,0.006681696028228562
Ret_mean_5,0.006623324131851191
SMA_10,0.0064844682872747415
Stoch_D_14,0.006462442117654091
MACD_line,0.006317385972958934
EOM_14,0.006171899316007993
Price_EMA_5,0.005943918227837856
Coppock,0.005937391983205082
Lag_ret_5,0.005898411877921847
DPO_20,0.005856917670563855
EMA_5,0.005769285800986374
OBV_ratio,0.005757550030365219
VI_plus_14,0.0056978734592145796
Lag_ret_2,0.005583317692382312
Pct_from_low_20,0.00556839240755062
EMA_12_26_cross,0.005508105760414557
ROC_20,0.005494348914467764
ROC_10,0.005462499314663118
Stoch_K_14,0.005434893927421109
TEMA_20,0.005373792088394795
SMA_5_20_cross,0.005264393152549634
ROC_1,0.005148898657427327
Bull_power,0.004979771174551433
ROC_5,0.004881340854160977
Gap,0.004858662279818017
Ret_mean_20,0.0048369615514524
Stoch_D_21,0.004827552099782926
Williams_R_21,0.004816805721024519
Body_pct,0.004768151185306868
Lag_ret_10,0.004709842637825105
Price_EMA_20,0.004615381249525421
BB_pct_20,0.004556703152912435
DEMA_20,0.004435333272469785
Aroon_osc_14,0.0044016580069762175
HMA_proxy,0.004390608860931298
Ret_mean_10,0.0041353157110580055
Bear_power,0.004091260256416826
Price_SMA_20,0.004065675607055691
Lower_shadow,0.003960904199886434
Aroon_osc_25,0.0038953779739279754
Lag_ret_1,0.003886982570513531
Price_EMA_10,0.0038765133800880034
SAR_proxy,0.0037347682795723634
VWAP_dev,0.003621746997227726
Price_SMA_10,0.003350971816108158
Williams_R_14,0.0032923150420530517
