Feature,Importance
MassIndex_25,0.021940161106276373
EMA_50,0.0180425346839992
EMA_20,0.017268737594284794
Price_SMA_200,0.0157295636239475
OBV_SMA20,0.015646651191110788
ATR_pct_21,0.015201014804227196
EMA_200,0.01510680969781881
Pct_from_low_52,0.014980627863709869
SMA_20,0.014904858324848062
Ret_std_5,0.014778525855991698
SMA_20_200_cross,0.014554581444204883
BB_width_20,0.013656081560634432
BB_width_50,0.013013838158576927
Plus_DI_14,0.012856060136803292
EMA_10,0.012790910768828111
ATR_pct_7,0.012448048366754927
KC_width,0.01239253173824715
Ret_skew_20,0.012242003846435633
SMA_10,0.012198587877647892
ATR_pct_14,0.012108991781066333
OBV_ratio,0.012108568396294997
OBV,0.012014502931320961
DC_width_20,0.011893406621887172
EOM_14,0.011817819493940337
SMA_100,0.011777026274967059
SMA_5_20_cross,0.011684751724388402
DPO_20,0.01141566853953066
EMA_100,0.011408110987197679
Price_EMA_200,0.011345841181536337
ATR_21,0.01124589407766352
ADX_14,0.011046051937806424
MACD_signal,0.01099026542959129
EMA_5,0.010968018443465186
SMA_50,0.010779386849365741
Ret_std_10,0.010752534384544812
SMA_200,0.010487316357934357
Ret_std_20,0.010246976133666503
MACD_line,0.010200079889455094
ATR_7,0.010060250979868159
TRIX_15,0.010011342026040251
SMA_5,0.009916039868923789
CMF_20,0.009675537726918008
ROC_60,0.009599201520702752
Coppock,0.009290885711243976
MFI_14,0.008895063325613552
UltOsc,0.008850748456389496
ATR_14,0.008746280305959078
Price_EMA_100,0.008685610007195706
PPO,0.008635703323941328
EMA_12_26_cross,0.008483236134837415
TEMA_20,0.008475620536727816
Ret_skew_10,0.00847146631647655
SMA_10_50_cross,0.008436705305818852
RSI_21,0.008376671557359664
Price_SMA_100,0.008317085183032253
MACD_histogram,0.008219988962473597
ROC_20,0.008005604161249893
Ret_mean_20,0.0078329143880534
BB_width_10,0.007822971014260535
Stoch_D_21,0.0077796021708990025
BB_pct_50,0.007726002369396502
Pct_from_high_52,0.007711739142607161
Lower_shadow,0.007530286330166521
Vol_ratio_20,0.007221459214812341
Minus_DI_14,0.007190252265578533
Force_13,0.0071804288155050975
DEMA_20,0.007047244939892898
Ret_skew_5,0.0070341237250657876
Bear_power,0.006988310837389071
Lag_ret_3,0.006875294533132123
Price_SMA_5,0.0068495255075930826
VWAP_dev,0.006825454514892461
Price_SMA_50,0.006800006311040998
Pct_from_high_20,0.006697093537644459
VI_minus_14,0.006544320463290491
Pct_from_low_20,0.006498430115469991
Aroon_osc_25,0.006369649444201261
RSI_14,0.006333278906921687
Upper_shadow,0.006243542118386294
VI_plus_14,0.0061449112119778574
BB_pct_20,0.006138013860635302
Stoch_D_14,0.006135753266416269
Price_EMA_20,0.006100256975449697
Stoch_K_14,0.006071342740985322
Ret_mean_10,0.006026175345254841
CCI_20,0.005992640047919961
Price_SMA_20,0.00588779216276543
ROC_5,0.005805086010997521
CCI_14,0.005768737114946467
Vol_ratio_10,0.005751884241294399
HMA_proxy,0.005746619457544526
Lag_ret_10,0.005734554210820527
BB_pct_10,0.005641583510638331
KC_pct,0.005572806288153952
Bull_power,0.0054468112784893195
Aroon_osc_14,0.005394976367048849
Lag_ret_5,0.005274962687683372
Price_EMA_5,0.005273423513900692
Price_EMA_50,0.005203484928416924
Stoch_K_21,0.0051824388071916635
Williams_R_14,0.005118799202398918
Lag_ret_2,0.005049683348081997
Ret_mean_5,0.004948415875814832
HL_range,0.004913444660418498
RSI_7,0.004660040494966271
ROC_10,0.0046536917414821445
Williams_R_21,0.004520069963049929
Gap,0.004339076402367123
Body_pct,0.004260051197308852
Price_SMA_10,0.004226947124761266
SAR_proxy,0.00411837692418081
Price_EMA_10,0.003959165731728945
Lag_ret_1,0.0034536311672565467
ROC_1,0.0031860399807106163
