Feature,Importance
DC_width_20,0.017952406215220526
BB_width_20,0.017806312344312812
EMA_200,0.01706302306774894
BB_width_50,0.01616881571548451
Ret_std_10,0.01536710894982174
Pct_from_high_52,0.015243652874906071
EMA_20,0.015228744986666482
CMF_20,0.015157727683254433
OBV_SMA20,0.014945076027320208
EMA_50,0.014510176740102323
SMA_200,0.013430340879843723
ATR_21,0.013323904876493488
SMA_20,0.012735138052182727
ATR_7,0.012616373879746557
TRIX_15,0.01253791209540569
EMA_10,0.012179824287094939
SMA_20_200_cross,0.012171268712967363
SMA_100,0.012148154504582873
EMA_100,0.012120105096607891
Ret_skew_20,0.01205002784380229
SMA_50,0.01204099886935726
BB_width_10,0.011625009447142044
OBV,0.01137555494807355
Price_EMA_200,0.011293165621051043
MACD_signal,0.011281873225855873
SMA_10,0.011275438642631813
SMA_5,0.011073207812850263
ADX_14,0.010708352932221134
EMA_5,0.010694259012719169
Coppock,0.010633770398272872
ATR_14,0.01051596697915445
PPO,0.01035462983553689
OBV_ratio,0.01031988358184259
ROC_60,0.010295721732785307
MACD_line,0.010281912629482345
Price_SMA_200,0.01028045408169249
MassIndex_25,0.010148817953828953
Ret_std_20,0.010025762210074425
Price_EMA_100,0.010013520258452873
Plus_DI_14,0.009822054994824187
CCI_20,0.009651133865693853
ATR_pct_21,0.009505573476864666
Ret_skew_10,0.009282777444083703
Ret_std_5,0.009155364138598009
Price_SMA_100,0.009109854597961382
Price_SMA_50,0.008561019999191302
SMA_10_50_cross,0.008546216613956817
ATR_pct_14,0.008540548761596939
Price_EMA_10,0.00831882884851095
Pct_from_low_52,0.008247157753150143
EMA_12_26_cross,0.008164161737116
Ret_mean_20,0.008106756223416757
Price_SMA_10,0.008101265589408777
Pct_from_high_20,0.007985772317944973
KC_width,0.007808549677237868
ROC_20,0.007748349716774864
MACD_histogram,0.007720602087625051
Ret_skew_5,0.007718517773507719
BB_pct_50,0.007714800671185261
EOM_14,0.007660772560008804
Pct_from_low_20,0.007614450879618448
RSI_21,0.007563257709464024
BB_pct_20,0.007483166070082456
ROC_5,0.007471030606734371
ATR_pct_7,0.007429789998873987
Lag_ret_5,0.0073371883844409805
Minus_DI_14,0.007186345931357687
Bear_power,0.007153748752358664
Vol_ratio_10,0.007145799233535163
DPO_20,0.007059210753940992
Ret_mean_5,0.006952073647436274
Price_SMA_20,0.006890798714414465
VI_minus_14,0.006842501316327801
SMA_5_20_cross,0.006771573276729166
Upper_shadow,0.00675036965881117
MFI_14,0.006741400990143197
CCI_14,0.0067342238186660075
VWAP_dev,0.006677729629477309
SAR_proxy,0.006572587970167859
Price_EMA_50,0.006568695064601624
RSI_14,0.0065271208265935965
UltOsc,0.00648783521994677
Force_13,0.006484177405033591
Aroon_osc_25,0.0064714203901099455
Price_SMA_5,0.00636499093476826
KC_pct,0.006330746107421471
Price_EMA_5,0.006309122667593204
HMA_proxy,0.006306340386330207
HL_range,0.006299973625190492
DEMA_20,0.00627650826294943
Aroon_osc_14,0.0062593060852049595
ROC_10,0.00613520781150007
TEMA_20,0.006121940453230577
VI_plus_14,0.006077152805819127
Vol_ratio_20,0.006059179795076727
Ret_mean_10,0.0060445832248328755
RSI_7,0.005920566411693756
Stoch_D_21,0.005914657891113794
Price_EMA_20,0.005652218604434181
Stoch_D_14,0.005632808080204641
Williams_R_21,0.005623282309983147
Bull_power,0.005561161033877398
Stoch_K_14,0.005477672215425021
Lag_ret_2,0.005434511903634465
Lag_ret_3,0.005283622505323389
Lag_ret_10,0.005115984292805354
Gap,0.005090046271405493
Stoch_K_21,0.005008825033723501
BB_pct_10,0.0048865266290729495
Body_pct,0.004869159968616571
Williams_R_14,0.004623446813462385
Lower_shadow,0.004481261406325157
ROC_1,0.0038950673379871317
Lag_ret_1,0.0035631590268796775
