Feature,Importance
Price_EMA_200,0.026479013372542375
ATR_pct_21,0.021096939361194517
Pct_from_high_52,0.019524946166508805
Ret_std_20,0.017839840603039066
Price_SMA_200,0.017795294306667923
ATR_pct_14,0.017665301215398267
KC_width,0.01746577755077099
SMA_20_200_cross,0.016680773408188347
Price_SMA_100,0.015861147633310587
Ret_skew_20,0.015785909525958666
ATR_pct_7,0.01577323124519796
Ret_std_10,0.01573593582266809
Ret_std_5,0.01552128712878013
ROC_60,0.015167003495561047
BB_width_50,0.015053245744428217
Ret_skew_10,0.014111174903645874
MassIndex_25,0.013780068504022887
OBV,0.013690615640651318
CMF_20,0.013285115021797562
Pct_from_low_52,0.013225867908528602
ATR_21,0.013162013205890683
ATR_7,0.012971840725346701
Price_EMA_100,0.012913054675767135
DC_width_20,0.01253483207186498
OBV_SMA20,0.012269418727621636
SMA_10_50_cross,0.011968409998844753
EMA_200,0.011449054119507283
OBV_ratio,0.01109338077697891
MACD_signal,0.01088895175479274
TRIX_15,0.010882904478604077
RSI_21,0.010352235056903079
ATR_14,0.010058130889721772
MACD_line,0.009964340963611946
EMA_50,0.00978491139580219
EMA_100,0.009715692827855737
Vol_ratio_10,0.009237264861964169
Minus_DI_14,0.009068079487625683
EMA_10,0.009038804826334958
PPO,0.009035681166434533
BB_pct_50,0.009017553736900169
ADX_14,0.008992701855628121
SMA_50,0.00899035770022582
SMA_100,0.00898223928773085
EMA_5,0.008839801865104878
Lag_ret_3,0.008606909287907683
BB_pct_10,0.008497827841082831
BB_width_20,0.00846636132262147
SMA_5,0.008390426779775147
Pct_from_low_20,0.008296651053965548
SMA_20,0.008234952132346832
Price_SMA_50,0.008171976761934324
SMA_10,0.008154551229695035
EMA_12_26_cross,0.008061500374771208
Coppock,0.00798332491626038
Aroon_osc_25,0.007926383905369289
Plus_DI_14,0.0077537250577744245
TEMA_20,0.007610318481505256
SMA_200,0.00760175095236707
EMA_20,0.00730887036561482
Pct_from_high_20,0.007233258249705401
MACD_histogram,0.007059481267844313
Gap,0.007017229164908907
Williams_R_21,0.00695043105770704
MFI_14,0.006860097932410363
Price_EMA_50,0.006724077651430392
Vol_ratio_20,0.006664644256921994
Force_13,0.0066322324761949525
Ret_skew_5,0.006576622375300542
RSI_14,0.006500823817702773
EOM_14,0.006466948565100729
ROC_20,0.0064274035583867595
Lag_ret_2,0.006296873704929507
Price_EMA_5,0.006293817707312015
Price_SMA_5,0.006213094560171787
SMA_5_20_cross,0.006153560048956762
BB_width_10,0.006065596796116585
Lag_ret_5,0.006064747645100526
UltOsc,0.006057577107081983
Ret_mean_20,0.005991036382473566
Ret_mean_5,0.005979756954327989
HL_range,0.005922796323023795
VI_plus_14,0.005832827299416262
ROC_1,0.005789568181975127
HMA_proxy,0.0057702629448680084
DEMA_20,0.005749405904114582
Stoch_D_21,0.005600358022303087
DPO_20,0.005552285725567148
Upper_shadow,0.005288598671548056
Price_SMA_10,0.005133321903746468
Bear_power,0.005008916222976864
ROC_10,0.004932114663883001
ROC_5,0.004913505045768154
CCI_14,0.004863224489217767
Stoch_D_14,0.004820981983835268
Stoch_K_21,0.004817400400935713
Lag_ret_1,0.0047831920683669505
RSI_7,0.004618215110804591
Lag_ret_10,0.004515424288310809
Lower_shadow,0.004508554028987788
Aroon_osc_14,0.004466511843945419
Stoch_K_14,0.00444591326536817
VI_minus_14,0.004323293849213863
Body_pct,0.004300936168913619
SAR_proxy,0.004250298742516374
Williams_R_14,0.004236619584912515
KC_pct,0.004230058760664995
Ret_mean_10,0.004215297598113489
Price_EMA_10,0.0041971416760881244
BB_pct_20,0.0041434758159159795
Bull_power,0.003987762334890323
Price_EMA_20,0.0038712939890723098
VWAP_dev,0.003844875618210835
CCI_20,0.0035151668140374235
Price_SMA_20,0.0035054138994868745
