Feature,Importance
MassIndex_25,0.020649550853608603
Ret_skew_10,0.016544605163631036
ATR_pct_21,0.016209716469814915
BB_width_20,0.015173627921822905
SMA_20_200_cross,0.015000057785224558
Vol_ratio_10,0.014602526899741477
Ret_std_20,0.014406375431804782
SMA_50,0.014223055736726537
ATR_21,0.014035073911310172
SMA_20,0.013971881524243591
EMA_50,0.013782601437975148
Ret_std_10,0.013432056099573203
KC_width,0.013378161827850656
Ret_skew_20,0.012924781508482579
ADX_14,0.012878162098299081
BB_width_50,0.012185881940839695
EMA_100,0.012165071440262113
Price_SMA_200,0.012018032864451418
Price_SMA_100,0.011997540780902531
BB_width_10,0.011960917632616771
OBV,0.011905660752033127
Price_EMA_200,0.011749840758563217
ATR_pct_14,0.011699268701408187
DC_width_20,0.011544643899409918
OBV_SMA20,0.011475468491264606
SMA_10_50_cross,0.01137083136977497
Pct_from_low_52,0.011086409786954724
MACD_signal,0.011064552042990476
Price_SMA_50,0.010943609620897583
Plus_DI_14,0.010869282929925901
ROC_60,0.010860404102699386
Pct_from_high_52,0.010697462870837624
MFI_14,0.010688961303565973
ATR_14,0.0105458757538894
Coppock,0.010484851972561677
Ret_skew_5,0.010054921905041862
EMA_12_26_cross,0.010036473286312764
EMA_20,0.010018744478595127
EMA_10,0.009966317805629352
EMA_200,0.009960663183237918
OBV_ratio,0.009804531224729426
ATR_pct_7,0.00972679704567552
MACD_histogram,0.009634866500085696
CMF_20,0.009614776305180822
SMA_5,0.00941346313680918
TEMA_20,0.009228012982271536
Price_EMA_100,0.00910430003222305
SMA_100,0.00909329313117815
Vol_ratio_20,0.008948370543745504
SMA_200,0.00885548349577122
VI_minus_14,0.008666108361020271
Minus_DI_14,0.008653332116019891
EMA_5,0.008566682691788813
HMA_proxy,0.008526622634986531
DEMA_20,0.008461271747227555
Pct_from_low_20,0.008451337563256306
TRIX_15,0.008337001242912286
PPO,0.008331206513596872
Ret_std_5,0.00828195488193493
MACD_line,0.008114429763594586
Lag_ret_5,0.007755603339034568
ATR_7,0.00765456872821527
Aroon_osc_25,0.0076352154243477304
Stoch_D_21,0.007576611151008154
Ret_mean_5,0.007502928984494196
Pct_from_high_20,0.007480947671901028
SMA_10,0.007438697909743258
BB_pct_50,0.007374885233096296
UltOsc,0.007139907155313231
CCI_20,0.007076770631019636
ROC_20,0.007042121086389059
DPO_20,0.006951518199754033
Williams_R_21,0.00690625017333646
SMA_5_20_cross,0.006896762385779118
EOM_14,0.006873939802121476
RSI_21,0.006830792146230253
Ret_mean_20,0.0067593117969223055
Price_SMA_10,0.006737344486261618
Stoch_D_14,0.006716672779405829
Force_13,0.006598810341456076
HL_range,0.006523225971036797
CCI_14,0.0064108709297040585
Price_EMA_50,0.00619720020102859
Price_SMA_20,0.0061703879941006545
ROC_5,0.006059477184199176
VI_plus_14,0.006047455707577826
Price_SMA_5,0.006041885286517584
Bull_power,0.00594353499599098
BB_pct_10,0.005729003688059732
ROC_10,0.005721660990219199
Aroon_osc_14,0.005666047948787423
Lag_ret_2,0.00554960759237585
Upper_shadow,0.005526197491298281
Lag_ret_10,0.005448074587998286
Body_pct,0.005440989897770284
Ret_mean_10,0.005435731300620651
KC_pct,0.005388948892043497
Williams_R_14,0.005360826747142868
Stoch_K_21,0.005276265150138132
Gap,0.0052656297110634884
BB_pct_20,0.0052559381206531705
RSI_14,0.005233664375530675
RSI_7,0.005186639064728173
Stoch_K_14,0.005060018507222126
Lag_ret_3,0.0050230628852562225
SAR_proxy,0.004780647221749539
Bear_power,0.0046891241184563535
ROC_1,0.004626608523787077
Price_EMA_5,0.004605889086764239
Price_EMA_20,0.004303420848316246
Lag_ret_1,0.0042968302101805585
VWAP_dev,0.0042709684270878095
Lower_shadow,0.004131268823622639
Price_EMA_10,0.004005471834358639
