Feature,Importance
Ret_skew_10,0.023751954576702147
EMA_100,0.019884647588512962
Ret_skew_20,0.01731524273256063
OBV_ratio,0.016646787362849642
MassIndex_25,0.015785088834443073
DC_width_20,0.01396206938982523
BB_pct_50,0.013350223203710189
BB_width_20,0.013338293370649117
ROC_60,0.012901196940727324
EMA_50,0.012571362080594914
SMA_100,0.012495087675458245
ATR_21,0.01222717868653896
EMA_200,0.012183401404618186
ATR_14,0.012093499022366097
Ret_std_5,0.011961451884515799
OBV_SMA20,0.011734161814085068
SMA_50,0.011412141445888275
CMF_20,0.011383492738701503
Pct_from_high_52,0.011326163185437672
SMA_10,0.01123026006981445
ADX_14,0.0111089126039706
SMA_20_200_cross,0.010859311229408081
SMA_200,0.01081202053793774
BB_width_10,0.010640397670813354
UltOsc,0.010477346267931217
SMA_20,0.010475138052660263
ATR_7,0.010457573185350759
Price_SMA_200,0.01044621042729335
VI_minus_14,0.010438630906140238
Pct_from_high_20,0.010386744641428981
Plus_DI_14,0.010355391805792593
EMA_10,0.010298997051489895
BB_width_50,0.010259898127774178
VI_plus_14,0.010246386330168375
EMA_5,0.010221675057596703
Ret_std_10,0.010134002751741748
MACD_histogram,0.009922711652092206
EOM_14,0.009769054438316853
MACD_line,0.009472419816488189
Aroon_osc_14,0.009465763359502123
TRIX_15,0.009304939247280005
SMA_5,0.009252909578858484
Ret_mean_10,0.009134482306670421
Aroon_osc_25,0.008988650775739538
EMA_20,0.008933368755122613
Ret_skew_5,0.008859118673417222
Pct_from_low_20,0.008848095303914023
Ret_std_20,0.008816424921349453
Bear_power,0.00867839994366922
Ret_mean_20,0.00858992826706991
Force_13,0.00847220553355403
Pct_from_low_52,0.0083944001084715
ATR_pct_7,0.00820908528806264
Price_EMA_200,0.008205562380859637
EMA_12_26_cross,0.008180073251321722
SMA_10_50_cross,0.008169986469226781
PPO,0.008149903344329386
MFI_14,0.008126246802090486
ROC_10,0.008070470174674077
Stoch_D_21,0.007874313212847003
KC_width,0.007849282493420684
Price_SMA_50,0.00782796612985848
Price_EMA_50,0.007786730403662366
RSI_21,0.00775783408152385
MACD_signal,0.007740843170164824
Price_EMA_20,0.007721374640525893
ROC_20,0.0076945886318460915
OBV,0.0076352055710600785
Vol_ratio_20,0.007569863905084807
KC_pct,0.007507174377211607
Stoch_D_14,0.00741487778224537
Bull_power,0.0073836971179568065
Price_SMA_20,0.007339550792782358
BB_pct_10,0.0073259473101756085
Vol_ratio_10,0.0073226735939472916
Price_SMA_100,0.007320079333226431
Coppock,0.0072570836444178196
VWAP_dev,0.007233069095154558
Lag_ret_10,0.007231575459804388
Price_EMA_100,0.006964609480910953
ATR_pct_21,0.00693539887156686
Minus_DI_14,0.006879473120573323
ATR_pct_14,0.006824025009053925
HL_range,0.006779269643696224
Stoch_K_21,0.006633444379016626
Lag_ret_2,0.006491480488798325
Ret_mean_5,0.006482150435397187
RSI_7,0.006421459754910784
DPO_20,0.0062877952603688815
SMA_5_20_cross,0.006233268882042213
Lag_ret_1,0.006187206628853185
ROC_5,0.00614406383234152
Upper_shadow,0.00601523182256994
Lag_ret_3,0.0059134137380732815
SAR_proxy,0.005890461616382197
Williams_R_21,0.005831199836279138
Lag_ret_5,0.005795639318674401
Stoch_K_14,0.005758612985534459
BB_pct_20,0.005718284676067629
HMA_proxy,0.005691947260446264
TEMA_20,0.0056176222302643
Gap,0.005586011522771633
RSI_14,0.005573321746111543
CCI_14,0.0054863394458304505
Williams_R_14,0.00533541522535765
DEMA_20,0.0053351490143948984
Price_EMA_10,0.005256543353488913
Lower_shadow,0.005220323769199229
Body_pct,0.004973721500179422
Price_SMA_5,0.0047956719795901005
CCI_20,0.004566324460648067
ROC_1,0.0042141460075292335
Price_EMA_5,0.004127409557238387
Price_SMA_10,0.004053291351344569
