Feature,Importance
Ret_std_20,0.01775553730364867
OBV_SMA20,0.017123771414667324
KC_width,0.01651935162209167
Minus_DI_14,0.016200166528290157
BB_width_50,0.015598012414835263
ADX_14,0.015531058825522047
OBV,0.015432550586236889
SMA_200,0.015248687806613741
ATR_pct_14,0.015058236945759482
Ret_std_10,0.014694435548148446
MassIndex_25,0.014435542795122238
ATR_pct_21,0.013994642392873449
EMA_200,0.013807352320828888
TRIX_15,0.013260212706703944
ATR_pct_7,0.012987795115723703
EMA_100,0.012852261493297585
Ret_skew_10,0.012458511018206156
EMA_10,0.01193098685834319
SMA_100,0.011868204453078792
Ret_skew_20,0.01180853966758473
SMA_20_200_cross,0.01177614040549673
EMA_50,0.011665263107206779
DC_width_20,0.011510695056103344
EMA_20,0.011467304771865973
ROC_60,0.011364358860843719
SMA_50,0.01117325224884462
Price_EMA_200,0.011080407927393024
CMF_20,0.011064034845647079
SMA_20,0.011063655057937436
ATR_14,0.010693162471037212
MACD_histogram,0.010686145836785187
Pct_from_low_52,0.010611975146039928
ATR_21,0.01052550624979905
MACD_signal,0.010426926715501116
BB_width_20,0.010380029201891452
Aroon_osc_25,0.010359342092698674
Stoch_D_21,0.010162115760160795
PPO,0.010057298881713868
EMA_5,0.010018307212240878
SMA_10_50_cross,0.009841602199647786
SMA_5,0.009801532404084204
UltOsc,0.009596124508855825
Ret_std_5,0.00950411415485524
BB_pct_50,0.0094538989550232
ATR_7,0.009421601449496959
RSI_14,0.009278550242398818
Price_EMA_100,0.009142500164148398
Price_SMA_200,0.00908665257364889
VI_minus_14,0.008987521706170808
RSI_21,0.008924357187951959
VI_plus_14,0.008900262018639547
SMA_5_20_cross,0.008756231965038991
Plus_DI_14,0.008751358642841385
Price_SMA_50,0.008735926671640274
Coppock,0.00871821474697449
Ret_mean_20,0.008690329504657732
MFI_14,0.008578448840711277
ROC_20,0.008541008682032298
SMA_10,0.008372775807502472
MACD_line,0.008328603030659399
Vol_ratio_20,0.00829179020738871
Stoch_D_14,0.008215302632900441
EMA_12_26_cross,0.008192814585099966
OBV_ratio,0.00809462088302055
Lag_ret_10,0.007870752908871046
Pct_from_high_52,0.007782618533473658
Ret_skew_5,0.0074044029233472555
BB_width_10,0.007287707578370668
DPO_20,0.00716548140270072
HL_range,0.007074900869742637
ROC_10,0.00702995305993108
KC_pct,0.006879816962658099
Price_SMA_100,0.006842632292820592
Pct_from_low_20,0.0068137992466718944
Gap,0.006618990158007192
TEMA_20,0.006471757135973456
Williams_R_21,0.00646678965782026
Upper_shadow,0.006461389960198267
EOM_14,0.006339752584877728
Pct_from_high_20,0.006338814773723516
Price_SMA_5,0.006143908957232392
Vol_ratio_10,0.005972858376525311
Lower_shadow,0.005966242083467058
CCI_14,0.00594195943461176
Lag_ret_2,0.005858100378852498
Ret_mean_10,0.00577647931021727
Price_EMA_50,0.005741661034519984
Body_pct,0.005466198511644625
Stoch_K_14,0.005401519616897603
CCI_20,0.00536329546472001
BB_pct_10,0.005360943530605663
Force_13,0.005345998592313997
HMA_proxy,0.005278828737284817
DEMA_20,0.005255156873121101
BB_pct_20,0.005212849256367637
ROC_1,0.005203948464926094
Bear_power,0.005180664230996322
Williams_R_14,0.00505979709101824
Lag_ret_3,0.005042904346334118
Lag_ret_1,0.005022249032521999
ROC_5,0.004984683568667234
Price_EMA_10,0.004858356992161564
Stoch_K_21,0.004846110805120854
Aroon_osc_14,0.004779825587797194
Lag_ret_5,0.004709111444578352
Price_SMA_20,0.004639257958660538
Price_SMA_10,0.004613265301292684
Ret_mean_5,0.004477391080336929
RSI_7,0.004451418794190201
Price_EMA_20,0.004335185924707786
Price_EMA_5,0.004098787487774969
SAR_proxy,0.004001466809848548
Bull_power,0.003985220212263797
VWAP_dev,0.003916871227059935
