Feature,Importance
Ret_std_10,0.023537817497942926
MassIndex_25,0.02133229277172716
CMF_20,0.01827589640389726
Ret_skew_20,0.016507342155997556
Ret_std_20,0.015233021136462308
SMA_20,0.014814001926243627
BB_width_20,0.014338960220848341
OBV_SMA20,0.013937872381193176
EMA_200,0.013689802276688088
Coppock,0.01344743065814016
EMA_10,0.012663792958524015
EMA_5,0.012616174910242813
DC_width_20,0.012548545718387847
SMA_200,0.01237702552937608
Pct_from_low_52,0.012336294772867695
ADX_14,0.0121012197870215
BB_width_50,0.012065072357644186
Aroon_osc_25,0.011990211429720407
MACD_histogram,0.011921572433500867
Price_SMA_200,0.011838639763245985
OBV,0.011808544572061035
MFI_14,0.011772802141917095
BB_width_10,0.011502450013910393
SMA_100,0.011451522209529885
SMA_10,0.011337938870856828
Price_EMA_200,0.011154083088937368
ROC_60,0.010984261611512305
Ret_mean_20,0.010936759064707717
ATR_pct_21,0.010794593192529085
EMA_100,0.010767100869008879
EMA_50,0.01076396064919108
Price_SMA_100,0.010740039353591775
TRIX_15,0.01057317422116761
OBV_ratio,0.010409384071247625
SMA_20_200_cross,0.010126226869687506
ATR_pct_7,0.010065729495592037
ATR_pct_14,0.010037194851544013
EOM_14,0.009993942947751255
MACD_signal,0.00992351895274339
PPO,0.009914352912348892
Ret_std_5,0.009872363257592224
Price_SMA_50,0.009839059366968076
Ret_skew_5,0.00975280783788372
Ret_skew_10,0.00973674771892898
ATR_21,0.009693017070357149
Price_EMA_100,0.009541964608755662
EMA_20,0.009520136130778635
Minus_DI_14,0.00949409021804684
SMA_5,0.009322584687286148
KC_width,0.009286266903618928
ROC_20,0.009267409872112763
SMA_10_50_cross,0.00914564366653387
SMA_50,0.009092215655290802
Pct_from_low_20,0.009073023647207698
SMA_5_20_cross,0.00880746470533446
RSI_21,0.00864431571579951
VI_plus_14,0.008557804090302195
Vol_ratio_20,0.00829329632111229
Vol_ratio_10,0.008058022055381418
ATR_14,0.0076422095823896466
UltOsc,0.007554778538623396
Plus_DI_14,0.0073522049512675
ATR_7,0.007341966810546032
MACD_line,0.007289670088052027
Lag_ret_10,0.007183521965159094
Force_13,0.007147377317214366
Stoch_D_14,0.007093280805381244
HMA_proxy,0.006936056040501455
DPO_20,0.006904367451754768
VI_minus_14,0.006858440534565199
HL_range,0.00678344049665481
RSI_14,0.006720548016414729
Pct_from_high_20,0.0066665333833231324
DEMA_20,0.006549217283904669
Bull_power,0.006539703009338596
Pct_from_high_52,0.0064752382078356345
EMA_12_26_cross,0.006364768925990075
ROC_5,0.006242056890062904
Body_pct,0.0061419925016166855
Price_SMA_10,0.0061356558693567995
BB_pct_50,0.006036799976300691
Bear_power,0.005942675162960615
Stoch_D_21,0.005913369610766162
Lag_ret_5,0.005885657209685336
TEMA_20,0.005853635085529361
Stoch_K_14,0.005737413062143603
Gap,0.0056940681330195815
VWAP_dev,0.0056629701825443935
Lag_ret_3,0.00565206033712121
CCI_20,0.005618720308046578
Williams_R_21,0.005613445237422045
Price_EMA_50,0.005612056599567022
Lag_ret_1,0.005590837937771599
Ret_mean_10,0.005493602865627242
Ret_mean_5,0.005463127733006393
ROC_10,0.005458147919434347
Price_SMA_20,0.005415575937816123
SAR_proxy,0.005392685149594358
Lower_shadow,0.005387236832422489
Upper_shadow,0.005302676387203439
RSI_7,0.005149695381764285
Stoch_K_21,0.005126320046189926
KC_pct,0.00497893026909535
CCI_14,0.004972785244942585
BB_pct_20,0.004956846797798704
Aroon_osc_14,0.004917453494400398
Price_EMA_20,0.004877992143801079
ROC_1,0.004860149865327724
Lag_ret_2,0.004662553940759561
BB_pct_10,0.004510732945428069
Williams_R_14,0.004417467760745844
Price_EMA_5,0.004347201045171299
Price_SMA_5,0.004186047831026794
Price_EMA_10,0.003757232316813878
