Feature,Importance
DC_width_20,0.018252136641415277
BB_width_20,0.017087100599296034
BB_width_50,0.01692296293435093
EMA_200,0.016616719272357406
OBV_SMA20,0.01621359994910611
CMF_20,0.01595791863930451
Pct_from_high_52,0.015046452490088378
ATR_21,0.014973843117850473
EMA_20,0.013799175586973595
SMA_20,0.013765753395913792
EMA_50,0.012760316908181961
OBV,0.01256993641941246
EMA_10,0.012491062088532456
MassIndex_25,0.012353685180407312
SMA_200,0.012285236688930728
Ret_std_10,0.012210027322248502
TRIX_15,0.012172886801927591
Price_EMA_200,0.012126288229512174
ATR_14,0.012089982137413396
SMA_100,0.01201424288252894
EMA_100,0.011973654289665854
SMA_20_200_cross,0.011845812810291534
SMA_10,0.01164455479449999
Plus_DI_14,0.011606522856386404
ATR_7,0.011549571515444716
Price_SMA_200,0.0113295986964413
OBV_ratio,0.011176679541414523
SMA_50,0.011040180452584099
ROC_60,0.010966002972155497
CCI_20,0.010941276620439698
Ret_skew_20,0.010899028141198969
Price_SMA_10,0.010738911518808793
ADX_14,0.010646093050167622
BB_width_10,0.010407738762681832
Ret_mean_20,0.010032845956043914
EMA_12_26_cross,0.009971774907037023
SMA_5,0.00985651953866461
Price_SMA_50,0.009700343421845517
Coppock,0.009686366084432421
EMA_5,0.009589621990700419
Ret_std_20,0.009531389182407783
Price_EMA_10,0.009487556291672283
Ret_std_5,0.009475515812719016
ATR_pct_21,0.009397077325368099
SMA_10_50_cross,0.009333354477702704
MACD_line,0.009310396422354116
MACD_signal,0.008981884689643577
Pct_from_low_52,0.008675458318192237
BB_pct_50,0.00865601751845948
Vol_ratio_10,0.008560270723719936
Price_EMA_100,0.00853431396142464
Price_SMA_100,0.00851323855651362
KC_width,0.008511654615172249
ROC_20,0.008433060841656853
HMA_proxy,0.008188713385565767
SAR_proxy,0.008024316237956764
RSI_21,0.007898098813917252
Ret_skew_5,0.007891084611345115
Ret_skew_10,0.00787317884475956
Pct_from_low_20,0.007639473856655454
Price_EMA_50,0.007528392350542709
Minus_DI_14,0.007393280538540436
DEMA_20,0.007365931872730388
PPO,0.007338677833683332
VI_minus_14,0.0073216324452912655
VI_plus_14,0.007279597294604186
MACD_histogram,0.0070623659295120985
ATR_pct_14,0.007061468757670228
Bear_power,0.006991525516160812
TEMA_20,0.006940066381270585
ATR_pct_7,0.006927857974279889
Price_SMA_20,0.006923775287023871
Aroon_osc_25,0.0068621654290377
Price_SMA_5,0.006851937094287908
Pct_from_high_20,0.006845047293058551
HL_range,0.006809471813948384
Stoch_D_21,0.006754348195776836
Vol_ratio_20,0.006680378786944812
Price_EMA_20,0.006642007976592879
Ret_mean_10,0.006551027597303817
UltOsc,0.006481726529219201
DPO_20,0.006448549011877772
Lag_ret_3,0.006440773372407459
CCI_14,0.006439893032696451
Ret_mean_5,0.006421660352457294
Gap,0.006209794863691707
EOM_14,0.006173421761265636
MFI_14,0.006021735111205302
Williams_R_14,0.005990784299956896
ROC_5,0.00586108062884432
Lag_ret_5,0.005818415284555638
Force_13,0.005789457442937348
Price_EMA_5,0.005760088785647873
BB_pct_10,0.005749842733442522
Upper_shadow,0.005734872417426804
BB_pct_20,0.005729710684596038
RSI_14,0.005717207283161378
Lag_ret_10,0.0057013646033294355
ROC_10,0.005635972581686322
Lag_ret_2,0.005611719732233181
VWAP_dev,0.0055774230709446605
Stoch_K_14,0.005451065844683809
KC_pct,0.005435808211347948
Williams_R_21,0.005321874302055825
Stoch_D_14,0.005109770556621322
Lag_ret_1,0.005067968168266015
SMA_5_20_cross,0.005035438986828891
Lower_shadow,0.0049804637426316915
Body_pct,0.004917526171896575
Bull_power,0.004899354752010684
Stoch_K_21,0.004722326083583889
RSI_7,0.0046038107696569405
Aroon_osc_14,0.004601535931737647
ROC_1,0.004178126832971578
