Ticker,Name,Sector,Weight
NVDA,NVIDIA Corp,Information Technology,0.0741
AAPL,Apple Inc,Information Technology,0.0671
MSFT,Microsoft Corp,Information Technology,0.0415
AMZN,Amazon.com Inc,Consumer Discretionary,0.0383
GOOGL,Alphabet Inc,Communication Services,0.0326
GOOG,Alphabet Inc,Communication Services,0.0304
AVGO,Broadcom Inc,Information Technology,0.0276
META,Meta Platforms Inc,Communication Services,0.0246
TSLA,Tesla Inc,Consumer Discretionary,0.0222
MU,Micron Technology Inc,Information Technology,0.016
BRK-B,Berkshire Hathaway Inc,Financials,0.0154
LLY,Eli Lilly & Co,Health Care,0.0154
AMD,Advanced Micro Devices Inc,Information Technology,0.0132
WMT,Walmart Inc,Consumer Staples,0.0131
JPM,JPMorgan Chase & Co,Financials,0.0131
V,Visa Inc,Financials,0.0096
JNJ,Johnson & Johnson,Health Care,0.009
XOM,Exxon Mobil Corp,Energy,0.0083
INTC,Intel Corp,Information Technology,0.008
AMAT,Applied Materials Inc,Information Technology,0.0069
CSCO,Cisco Systems Inc,Information Technology,0.0069
MA,Mastercard Inc,Financials,0.0067
CAT,Caterpillar Inc,Industrials,0.0064
ABBV,AbbVie Inc,Health Care,0.0064
LRCX,Lam Research Corp,Information Technology,0.0064
BAC,Bank of America Corp,Financials,0.0061
COST,Costco Wholesale Corp,Consumer Staples,0.0059
ORCL,Oracle Corp,Information Technology,0.0059
UNH,UnitedHealth Group Inc,Health Care,0.0056
GE,General Electric Co,Industrials,0.0054
KO,Coca-Cola Co/The,Consumer Staples,0.0052
CVX,Chevron Corp,Energy,0.0051
MS,Morgan Stanley,Financials,0.0051
PG,Procter & Gamble Co/The,Consumer Staples,0.005
HD,Home Depot Inc/The,Consumer Discretionary,0.005
GS,Goldman Sachs Group Inc/The,Financials,0.0045
NFLX,Netflix Inc,Communication Services,0.0045
MRK,Merck & Co Inc,Health Care,0.0044
PLTR,Palantir Technologies Inc,Information Technology,0.0044
KLAC,KLA Corp,Information Technology,0.0044
GEV,GE Vernova Inc,Industrials,0.0043
SNDK,Sandisk Corp/DE,Information Technology,0.0041
TXN,Texas Instruments Inc,Information Technology,0.0041
PM,Philip Morris International Inc,Consumer Staples,0.0041
DELL,Dell Technologies Inc,Information Technology,0.0041
IBM,International Business Machines Corp,Information Technology,0.0039
WFC,Wells Fargo & Co,Financials,0.0039
PANW,Palo Alto Networks Inc,Information Technology,0.0039
RTX,RTX Corp,Industrials,0.0038
LIN,Linde PLC,Materials,0.0036
C,Citigroup Inc,Financials,0.0035
AXP,American Express Co,Financials,0.0035
ANET,Arista Networks Inc,Information Technology,0.0034
MRVL,Marvell Technology,Information Technology,0.0031
STX,Seagate Technology Holdings PLC,Information Technology,0.003
TMUS,T-Mobile US Inc,Communication Services,0.0029
WDC,Western Digital Corp,Information Technology,0.0029
QCOM,QUALCOMM Inc,Information Technology,0.0029
AMGN,Amgen Inc,Health Care,0.0028
TMO,Thermo Fisher Scientific Inc,Health Care,0.0028
APH,Amphenol Corp,Information Technology,0.0028
MCD,McDonald's Corp,Consumer Discretionary,0.0028
ADI,Analog Devices Inc,Information Technology,0.0028
CRWD,Crowdstrike Holdings Inc,Information Technology,0.0028
PEP,PepsiCo Inc,Consumer Staples,0.0027
NEE,NextEra Energy Inc,Utilities,0.0027
SCHW,Charles Schwab Corp/The,Financials,0.0026
VZ,Verizon Communications Inc,Communication Services,0.0025
BA,Boeing Co/The,Industrials,0.0025
UNP,Union Pacific Corp,Industrials,0.0025
APP,AppLovin Corp,Information Technology,0.0025
TJX,TJX Cos Inc/The,Consumer Discretionary,0.0024
DIS,Walt Disney Co/The,Communication Services,0.0024
GLW,Corning Inc,Information Technology,0.0024
ABT,Abbott Laboratories,Health Care,0.0024
WELL,Welltower Inc,Real Estate,0.0024
GILD,Gilead Sciences Inc,Health Care,0.0023
BLK,Blackrock Inc,Financials,0.0023
DE,Deere & Co,Industrials,0.0023
ETN,Eaton Corp PLC,Industrials,0.0023
UBER,Uber Technologies Inc,Industrials,0.0022
BX,Blackstone Inc,Financials,0.0022
T,AT&T Inc,Communication Services,0.0021
ISRG,Intuitive Surgical Inc,Health Care,0.0021
DHR,Danaher Corp,Health Care,0.002
BKNG,Booking Holdings Inc,Consumer Discretionary,0.002
PFE,Pfizer Inc,Health Care,0.002
CB,Chubb Ltd,Financials,0.002
PGR,Progressive Corp/The,Financials,0.0019
CRM,Salesforce Inc,Information Technology,0.0019
CVS,CVS Health Corp,Health Care,0.0019
COP,ConocoPhillips,Energy,0.0019
PLD,Prologis Inc,Real Estate,0.0019
SPGI,S&P Global Inc,Financials,0.0018
SYK,Stryker Corp,Health Care,0.0018
COF,Capital One Financial Corp,Financials,0.0018
VRTX,Vertex Pharmaceuticals Inc,Health Care,0.0018
VRT,Vertiv Holdings,Industrials,0.0018
PH,Parker-Hannifin Corp,Industrials,0.0018
SBUX,Starbucks Corp,Consumer Discretionary,0.0018
LMT,Lockheed Martin Corp,Industrials,0.0017
MO,Altria Group Inc,Consumer Staples,0.0017
LOW,Lowe's Cos Inc,Consumer Discretionary,0.0017
BMY,Bristol-Myers Squibb Co,Health Care,0.0017
FTNT,Fortinet Inc,Information Technology,0.0017
NOW,ServiceNow Inc,Information Technology,0.0016
HWM,Howmet Aerospace Inc,Industrials,0.0016
SO,Southern Co/The,Utilities,0.0016
MDT,Medtronic PLC,Health Care,0.0016
TT,Trane Technologies PLC,Industrials,0.0015
CDNS,Cadence Design Systems Inc,Information Technology,0.0015
BNY,Bank of New York Mellon Corp/The,Financials,0.0015
EQIX,Equinix Inc,Real Estate,0.0015
NEM,Newmont Corp,Materials,0.0015
GD,General Dynamics Corp,Industrials,0.0015
PNC,PNC Financial Services Group Inc/The,Financials,0.0015
HOOD,Robinhood Markets Inc,Financials,0.0015
MAR,Marriott International Inc/MD,Consumer Discretionary,0.0014
PWR,Quanta Services Inc,Industrials,0.0014
DUK,Duke Energy Corp,Utilities,0.0014
USB,US Bancorp,Financials,0.0014
ADP,Automatic Data Processing Inc,Industrials,0.0014
UPS,United Parcel Service Inc,Industrials,0.0014
MNST,Monster Beverage Corp,Consumer Staples,0.0014
MCK,McKesson Corp,Health Care,0.0014
WM,Waste Management Inc,Industrials,0.0014
CMI,Cummins Inc,Industrials,0.0014
CSX,CSX Corp,Industrials,0.0013
WMB,Williams Cos Inc/The,Energy,0.0013
DDOG,Datadog Inc,Information Technology,0.0013
ELV,Elevance Health Inc,Health Care,0.0013
HCA,HCA Healthcare Inc,Health Care,0.0013
CEG,Constellation Energy Corp,Utilities,0.0013
ADBE,Adobe Inc,Information Technology,0.0013
FCX,Freeport-McMoRan Inc,Materials,0.0013
ABNB,Airbnb Inc,Consumer Discretionary,0.0013
JCI,Johnson Controls International plc,Industrials,0.0013
KKR,KKR & Co Inc,Financials,0.0013
CME,CME Group Inc,Financials,0.0013
MRSH,Marsh & McLennan Cos Inc,Financials,0.0012
SNPS,Synopsys Inc,Information Technology,0.0012
MCO,Moody's Corp,Financials,0.0012
CMCSA,Comcast Corp,Communication Services,0.0012
DASH,DoorDash Inc,Consumer Discretionary,0.0012
VLO,Valero Energy Corp,Energy,0.0012
MPC,Marathon Petroleum Corp,Energy,0.0012
ACN,Accenture PLC,Information Technology,0.0012
SHW,Sherwin-Williams Co/The,Materials,0.0012
MMM,3M Co,Industrials,0.0012
