Ticker,CV_ROC_AUC,CV_BuyF1_default,CV_BuyF1_opt,CV_Threshold
AAPL,0.5247,0.0688,0.4523,0.1715
MSFT,0.5611,0.2144,0.4308,0.2735
TSLA,0.5378,0.3418,0.5437,0.2835
GOOGL,0.5444,0.2724,0.5074,0.283
AMZN,0.5609,0.2612,0.4386,0.2622
NVDA,0.5337,0.2191,0.5918,0.2225
META,0.5002,0.1931,0.4999,0.2236
NFLX,0.4854,0.2248,0.4926,0.172
JPM,0.5389,0.1095,0.463,0.2084
JNJ,0.5311,0.1228,0.2723,0.3045
XOM,0.5221,0.0067,0.4149,0.223
WMT,0.5676,0.1045,0.3771,0.27
SPY,0.6752,0.1949,0.3309,0.3653
QQQ,0.5937,0.1772,0.4056,0.2984
IWM,0.5329,0.147,0.3955,0.2681
GLD,0.5614,0.0195,0.3228,0.1955
TLT,0.5635,0.127,0.2053,0.2882
AMD,0.5305,0.324,0.5492,0.2475
QCOM,0.5303,0.2784,0.4813,0.2553
ORCL,0.5836,0.2193,0.4621,0.2449
CRM,0.5182,0.2992,0.4504,0.2394
ADBE,0.557,0.3748,0.4215,0.3802
GS,0.5438,0.085,0.4578,0.1719
BAC,0.5565,0.0489,0.4865,0.1888
V,0.6128,0.1587,0.3866,0.2994
MA,0.6038,0.2001,0.3272,0.2598
UNH,0.5924,0.2845,0.3752,0.237
PFE,0.5288,0.2043,0.3711,0.3236
ABBV,0.5191,0.0245,0.4291,0.1681
AMGN,0.5298,0.046,0.4284,0.1735
CAT,0.4992,0.1247,0.484,0.2133
BA,0.5798,0.4414,0.5177,0.3142
HON,0.5477,0.0464,0.3443,0.241
GE,0.5325,0.1037,0.5356,0.1278
CVX,0.5543,0.1235,0.3818,0.2749
COP,0.5522,0.2063,0.4676,0.2988
MCD,0.5413,0.0267,0.3027,0.2279
NKE,0.5536,0.4404,0.4624,0.2556
HD,0.5341,0.1712,0.425,0.1568
COST,0.4906,0.1828,0.3868,0.2369
